game_id,created_by,home_team_id,away_team_id,home_score,away_score
2282,,28,1,1,6
2418,,29,1,9,2
2419,,29,1,5,3
9,,0,4,3,5
10,,0,4,9,5
11,,0,4,6,5
12,,0,4,3,7
107,,1,4,3,2
108,,1,4,1,4
109,,1,4,1,2
208,,2,4,21,0
209,,2,4,0,5
210,,2,4,3,5
211,,2,4,3,2
256,,3,4,4,8
257,,3,4,1,5
287,,3,4,10,4
288,,3,4,5,1
289,,3,4,8,6
290,,3,4,11,1
315,,3,4,3,1
316,,3,4,2,1
317,,3,4,10,1
427,,5,4,8,5
428,,5,4,11,3
429,,5,4,6,1
448,,5,4,5,4
449,,5,4,6,4
450,,5,4,3,11
451,,5,4,5,3
461,,5,4,5,3
462,,5,4,2,4
463,,5,4,2,8
504,,6,4,3,7
505,,6,4,7,8
506,,6,4,5,4
568,,7,4,5,1
569,,7,4,4,7
570,,7,4,6,10
571,,7,4,3,5
607,,7,4,8,4
608,,7,4,2,4
609,,7,4,5,2
637,,7,4,2,0
638,,7,4,7,6
639,,7,4,5,7
667,,8,4,5,1
668,,8,4,8,6
669,,8,4,4,3
683,,8,4,13,7
684,,8,4,2,3
685,,8,4,5,6
718,,8,4,7,3
719,,8,4,7,5
720,,8,4,1,5
737,,9,4,0,6
738,,9,4,4,3
739,,9,4,1,14
818,,10,4,2,3
819,,10,4,3,5
820,,10,4,7,0
950,,11,4,1,4
951,,11,4,2,10
952,,11,4,7,2
953,,11,4,1,0
1021,,12,4,5,4
1022,,12,4,7,0
1023,,12,4,4,3
1127,,13,4,7,6
1128,,13,4,2,1
1129,,13,4,5,3
1189,,14,4,4,7
1190,,14,4,5,3
1191,,14,4,5,2
1458,,18,4,0,6
1459,,18,4,5,3
1571,,19,4,6,4
1572,,19,4,5,4
1573,,19,4,5,4
1649,,20,4,4,2
1650,,20,4,2,3
1651,,20,4,1,5
2167,,26,4,5,1
2168,,26,4,2,7
13,,0,29,6,13
14,,0,29,5,4
15,,0,29,1,2
114,,1,29,5,2
115,,1,29,3,10
948,,11,29,1,3
949,,11,29,2,1
1087,,13,29,3,8
1088,,13,29,3,5
1089,,13,29,6,3
1263,,15,29,5,4
1264,,15,29,1,3
1265,,15,29,0,1
1300,,16,29,5,3
1301,,16,29,2,3
1302,,16,29,13,0
1341,,16,29,1,3
1342,,16,29,13,2
1343,,16,29,1,2
1371,,16,29,6,5
1372,,16,29,3,2
1373,,16,29,3,8
1432,,17,29,4,2
1433,,17,29,8,11
1434,,17,29,5,8
1479,,18,29,4,2
1480,,18,29,0,2
1481,,18,29,3,0
1482,,18,29,4,2
1552,,19,29,1,2
1553,,19,29,3,5
1554,,19,29,6,8
1667,,20,29,9,3
1668,,20,29,2,4
1669,,20,29,8,6
1717,,21,29,4,1
1718,,21,29,5,3
1719,,21,29,2,7
1727,,21,29,4,2
1728,,21,29,4,1
1729,,21,29,5,7
1776,,21,29,6,2
1777,,21,29,8,7
1778,,21,29,7,4
1799,,22,29,3,4
1800,,22,29,0,2
1801,,22,29,4,3
1887,,23,29,6,5
1888,,23,29,2,6
1889,,23,29,5,1
1929,,23,29,4,7
1930,,23,29,7,9
1931,,23,29,5,1
1941,,23,29,2,1
1942,,23,29,4,5
1943,,23,29,5,1
1986,,24,29,2,12
1987,,24,29,2,1
1988,,24,29,5,1
1995,,24,29,5,3
1996,,24,29,2,0
1997,,24,29,1,9
1998,,24,29,0,5
2016,,24,29,9,3
2017,,24,29,10,7
2018,,24,29,6,3
2027,,25,29,9,10
2028,,25,29,3,0
2029,,25,29,8,4
2030,,25,29,1,7
2163,,26,29,0,2
2164,,26,29,4,3
2165,,26,29,1,3
2166,,26,29,4,1
2195,,27,29,5,2
2196,,27,29,7,10
2197,,27,29,5,2
2335,,28,29,3,4
2336,,28,29,10,9
2337,,28,29,5,2
2338,,28,29,6,1
16,,0,12,6,5
17,,0,12,2,1
18,,0,12,10,8
101,,1,12,1,10
102,,1,12,10,3
103,,1,12,2,7
111,,1,12,6,9
112,,1,12,4,1
113,,1,12,9,6
126,,1,12,2,7
127,,1,12,5,7
128,,1,12,4,6
129,,1,12,9,1
198,,2,12,1,7
199,,2,12,3,5
200,,2,12,3,4
224,,2,12,3,4
225,,2,12,4,1
226,,2,12,0,1
240,,2,12,2,5
241,,2,12,3,0
242,,2,12,6,2
246,,3,12,6,9
247,,3,12,10,3
248,,3,12,8,12
396,,4,12,0,8
397,,4,12,13,7
398,,4,12,3,7
457,,5,12,8,3
458,,5,12,2,4
459,,5,12,0,9
460,,5,12,3,11
562,,6,12,1,3
563,,6,12,7,6
564,,6,12,0,2
614,,7,12,9,5
615,,7,12,3,7
616,,7,12,4,7
680,,8,12,8,2
681,,8,12,2,4
682,,8,12,8,3
763,,9,12,8,3
764,,9,12,5,14
765,,9,12,5,8
786,,9,12,7,2
787,,9,12,2,1
788,,9,12,5,4
799,,9,12,1,5
800,,9,12,4,6
801,,9,12,9,7
821,,10,12,3,5
822,,10,12,5,6
823,,10,12,9,3
900,,11,12,18,4
901,,11,12,0,2
902,,11,12,4,5
903,,11,12,1,4
1075,,13,12,0,3
1076,,13,12,6,5
1077,,13,12,3,2
1078,,13,12,11,7
1172,,14,12,2,4
1173,,14,12,4,3
1174,,14,12,6,5
1175,,14,12,2,4
1176,,14,12,4,1
1201,,14,12,6,2
1202,,14,12,7,1
1203,,14,12,1,0
1204,,14,12,5,2
1205,,14,12,2,1
1380,,17,12,13,2
1381,,17,12,7,5
1382,,17,12,2,6
1501,,18,12,6,2
1502,,18,12,8,2
1503,,18,12,5,3
1763,,21,12,6,1
1764,,21,12,3,2
1831,,22,12,7,6
1832,,22,12,10,1
19,,0,10,2,5
20,,0,10,2,1
21,,0,10,9,0
53,,0,10,2,0
54,,0,10,3,1
55,,0,10,7,10
75,,0,10,3,2
76,,0,10,1,3
77,,0,10,3,7
142,,1,10,4,2
143,,1,10,4,1
